ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0012138530","CSX","CRED.SUISSE GRP NA SF-;04",Common stock,"EUR",2504220,2018-02-15,15:00,15.015,15.015,15.015,15.015,220,1
"CH0012221716","ABJ","ABB LTD. NA     SF 0;12",Common stock,"EUR",2504224,2018-02-15,15:00,20.4,20.4,20.4,20.4,54,1
"CH0038863350","NESR","NESTLE NAM.        SF-;10",Common stock,"EUR",2504245,2018-02-15,15:00,65.24,65.24,65.24,65.24,180,1
"CH0244767585","0UB","UBS GROUP AG      SF -;10",Common stock,"EUR",2504253,2018-02-15,15:00,15.335,15.335,15.335,15.335,231,1
"CH0303692047","ED4","EDAG ENGINEERING G.SF-;04",Common stock,"EUR",2504254,2018-02-15,15:00,16.98,16.98,16.98,16.98,440,1
"DE000ETFL235","EL4X","DK DAXPLUS MAX.DIVIDEND",ETF,"EUR",2504260,2018-02-15,15:00,78.5,78.5,78.5,78.5,63,1
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.",Common stock,"EUR",2504288,2018-02-15,15:00,96.65,96.65,96.65,96.65,135,3
"DE000A0D6554","NDX1","NORDEX SE O.N.",Common stock,"EUR",2504290,2018-02-15,15:00,9.524,9.55,9.524,9.55,7257,10
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.",Common stock,"EUR",2504297,2018-02-15,15:00,137.5,137.6,137.5,137.6,764,10
"DE000A0HGQF5","MF6","MAGFORCE AG",Common stock,"EUR",2504308,2018-02-15,15:00,7.88,7.88,7.83,7.83,581,2
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH",Common stock,"EUR",2504314,2018-02-15,15:00,33.23,33.24,33.21,33.24,10873,13
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.",Common stock,"EUR",2504340,2018-02-15,15:00,56.95,57.05,56.95,56.95,2625,9
"DE000A0JQ5U3","M5Z","MANZ AG",Common stock,"EUR",2504345,2018-02-15,15:00,34.95,34.95,34.95,34.95,56,1
"DE000A0LD6E6","GXI","GERRESHEIMER AG",Common stock,"EUR",2504380,2018-02-15,15:00,68.3,68.35,68.3,68.3,534,8
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.",Common stock,"EUR",2504401,2018-02-15,15:00,10,10,10,10,149,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.",Common stock,"EUR",2504428,2018-02-15,15:00,12.37,12.37,12.37,12.37,326,2
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1",Common stock,"EUR",2504436,2018-02-15,15:00,23.74,23.74,23.72,23.74,1319,3
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.",Common stock,"EUR",2504438,2018-02-15,15:00,28.36,28.36,28.35,28.36,1595,9
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.",Common stock,"EUR",2504471,2018-02-15,15:00,178.15,178.15,177.95,177.95,895,8
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.",Common stock,"EUR",2504474,2018-02-15,15:00,58.55,58.55,58.55,58.55,297,2
